"","select.static","select.additive","select.multiplicative","nonselect.static","nonselect.additive","nonselect.multiplicative","selWT.static","selWT.additive","selWT.multiplicative","nonWT.static","nonWT.additive","nonWT.multiplicative"
"1",-1.57415383136801,-0.129652929761361,1.01684936626755,-1.66427747094296,-0.334807129634435,0.954221834810273,-1.91338478076438,-0.143501674900625,1.0015362758742,-1.91338478076438,-0.143501674900625,1.0015362758742
"2",-2.30359335407019,-0.276257315876509,0.911305634730599,-1.93968464455695,-0.105233972415636,1.10016870302462,-2.12072707675293,-0.139784435066431,1.01933844534507,-2.12072707675293,-0.139784435066431,1.01933844534507
"3",-2.48673284260588,-0.281259411523446,0.894535512892352,-1.76745395715133,-0.149898129009411,1.09606301988822,-2.04719359311076,-0.0799526478992485,1.06695415315116,-2.04719359311076,-0.0799526478992485,1.06695415315116
"4",-1.60729397164899,-0.344253233332801,0.856615313920696,-1.84293422667083,-0.189821658804428,1.04879311914001,-1.33531597059835,-0.0849940648298035,1.12971874702687,-1.33531597059835,-0.0849940648298035,1.12971874702687
"5",-1.42330104935,-0.179300332691668,0.949084176128786,-1.79731282848447,-0.157309570064176,1.0455499203331,-1.42180686731683,-0.168529144967359,1.01098330985565,-1.42180686731683,-0.168529144967359,1.01098330985565
"6",-1.36757022813632,-0.225337186874356,0.874157500705861,-1.59855355294318,-0.112396621072425,1.1399332451374,-1.42472348784202,-0.154723402679562,0.985888044476503,-1.42472348784202,-0.154723402679562,0.985888044476503
"7",-1.40543550569402,-0.180746337247898,0.905472805257045,-2.2653528617469,-0.123892260858961,1.06954299157761,-2.0966878844931,-0.100863017338576,1.03372343353671,-2.0966878844931,-0.100863017338576,1.03372343353671
"8",-2.17918868451981,-0.207416110674668,0.820189667756317,-1.66530978689786,-0.132454701838289,1.08844444202977,-1.30539761085527,-0.0696592271501757,1.26004144724696,-1.30539761085527,-0.0696592271501757,1.26004144724696
"9",-1.51757075364716,-0.129600819102266,1.05121995306126,-1.94366958061127,-0.172784765438222,1.05022448131207,-1.82827748574664,-0.107834379128986,1.02389303856094,-1.82827748574664,-0.107834379128986,1.02389303856094
"10",-1.86409961146532,-0.400135361221092,0.751330501815363,-1.73412774350329,-0.123103021343716,1.07084553033751,-1.77949076568224,-0.181200448607009,0.957963092809234,-1.77949076568224,-0.181200448607009,0.957963092809234
"11",-1.92632747074245,-0.153724519759323,0.958069250051188,-1.58558206586161,-0.131789881388823,1.10143804948374,-2.16233807318376,-0.172743164874891,0.932241439921106,-2.16233807318376,-0.172743164874891,0.932241439921106
"12",-1.92685332839909,-0.164386001975987,0.93244346218536,-1.79673846322676,-0.14768716359125,1.01970185638833,-2.14276640031609,-0.0858260507222847,0.928951376757017,-2.14276640031609,-0.0858260507222847,0.928951376757017
"13",-1.42795481122006,-0.0939719833252949,1.1043834487075,-1.61217359443773,-0.150452111523196,1.09808525351022,-1.7812358452578,-0.149520994678575,1.02179729171339,-1.7812358452578,-0.149520994678575,1.02179729171339
"14",-1.7312420061999,-0.225703134546991,0.959952387332404,-1.77249167287044,-0.13898425871756,1.07594395423182,-1.52766099212242,-0.102302895835019,1.0455069877371,-1.52766099212242,-0.102302895835019,1.0455069877371
"15",-1.69346451129569,-0.21093481658942,0.922110492959492,-2.02467861884017,-0.169612870646571,1.04141321063985,-2.12783198136726,-0.0832069932806634,1.09190881464895,-2.12783198136726,-0.0832069932806634,1.09190881464895
"16",-1.89777026400234,-0.262739214265199,0.937690046875083,-1.8536394459615,-0.145832291332812,1.07340466434099,-2.06267220947245,-0.104927660074951,1.01273984400131,-2.06267220947245,-0.104927660074951,1.01273984400131
"17",-2.21244366446634,-0.282184138591498,0.920147075539086,-1.81422268392351,-0.196294171425726,1.03575736731249,-1.38180041469599,-0.0988618173273041,1.04139431126842,-1.38180041469599,-0.0988618173273041,1.04139431126842
"18",-2.17459766354379,-0.179501414470725,1.00807897180651,-1.61866332645279,-0.134235888637809,1.18932921320268,-2.10508301104827,-0.133208648685415,0.968066054004002,-2.10508301104827,-0.133208648685415,0.968066054004002
"19",-1.53053777805312,-0.0249950745901798,1.10135805082001,-1.95881394842862,-0.149623935847086,0.983560353116741,-1.79706133873902,0.0268923932407713,1.22573975235223,-1.79706133873902,0.0268923932407713,1.22573975235223
