"","select.static","select.additive","select.multiplicative","nonselect.static","nonselect.additive","nonselect.multiplicative","selWT.static","selWT.additive","selWT.multiplicative","nonWT.static","nonWT.additive","nonWT.multiplicative"
"1",-2.16511503291651,-0.16144006595425,0.98938910460645,-2.11997531133736,-7.9028013776312e-05,0.754039723437921,-1.80779356465433,0.0108258848438473,0.8881947145979,-1.80779356465433,0.0108258848438473,0.8881947145979
"2",-2.12491482075258,-0.13913326134326,1.03570179785392,-2.29463237706974,0.0156132887058718,0.773531359971245,-0.997613603405702,-0.000347342822553729,0.970636502130203,-0.997613603405702,-0.000347342822553729,0.970636502130203
"3",-1.92872010712988,0.0877241780888704,1.01965441840851,-1.9656354798825,-0.000660296311496976,0.78514180268322,-1.68717192542384,0.017600903761367,0.86606662994226,-1.68717192542384,0.017600903761367,0.86606662994226
"4",-1.60519468998089,-0.140336895066283,1.02066226961581,-1.08583968377804,0.0129009557176372,0.774132242475847,-0.992999785509444,-0.0098668845427378,1.01446520171561,-0.992999785509444,-0.0098668845427378,1.01446520171561
"5",-1.54883182510166,-0.16190732083099,1.05657452219689,-2.06057874495416,-0.0224765087614528,0.920985561662551,-0.978432333364964,0.00119203220483911,0.945115201208531,-0.978432333364964,0.00119203220483911,0.945115201208531
"6",-1.6022614851137,-0.117685956000202,1.07945974001481,-2.05734804514657,-0.0209814937406564,0.944227954114065,-1.87480240728007,0.0177308886625798,0.866716239318817,-1.87480240728007,0.0177308886625798,0.866716239318817
"7",-1.55349305889628,-0.136745729613313,1.04358367408059,-1.99255005500941,-0.0194141930013681,0.92944037258546,-0.912568928873842,0.0178974375116097,0.91626173627983,-0.912568928873842,0.0178974375116097,0.91626173627983
"8",-1.56054783661849,-0.203566186836345,1.01367535028241,-2.08736458819562,-0.012638278090089,0.9387193851926,-2.18610658190005,0.0220196446867222,0.897407746201418,-2.18610658190005,0.0220196446867222,0.897407746201418
"9",-1.70896482346521,-0.150991576437301,0.976197210874298,-2.12727950516664,-0.0138701518025482,0.767944156135673,-0.995935680227091,-0.0048327330966952,1.00077149339727,-0.995935680227091,-0.0048327330966952,1.00077149339727
"10",-2.05260575461951,-0.221909637873654,1.00780116037051,-2.71034095796456,0.00344952952466546,0.753514808684187,-0.952340681546093,-0.013461717884015,0.977728796070507,-0.952340681546093,-0.013461717884015,0.977728796070507
"11",-1.53824587346003,-0.128897009930887,1.08624518115489,-1.87618641440876,0.00605376938547132,0.822899844377016,-0.944843863949163,-0.00253963460025233,0.985390597946791,-0.944843863949163,-0.00253963460025233,0.985390597946791
"12",-2.39391917855239,-0.242574007307624,0.930029198852922,-1.11179938880262,0.0225793950594464,0.874700821728812,-1.75559392479614,0.0195186737261935,0.826493859596531,-1.75559392479614,0.0195186737261935,0.826493859596531
"13",-2.05704842356026,-0.0847080629817496,1.08049923499967,-2.21072504744002,-0.0155593040010187,0.783262509024718,-0.981664101719415,0.00133768932868736,1.00736635997873,-0.981664101719415,0.00133768932868736,1.00736635997873
"14",-2.08321930931685,-0.166171837531136,0.995212072711683,-2.07825693255095,-0.0380325490707632,0.882572557003296,-0.959997964135282,0.0114693934228584,0.930956698050661,-0.959997964135282,0.0114693934228584,0.930956698050661
"15",-1.94601763185256,-0.107819922921166,1.01858958400269,-1.98873248808932,-0.015056511998908,0.886997812376174,-1.00838199360412,-0.00222726745863102,0.96539099608524,-1.00838199360412,-0.00222726745863102,0.96539099608524
"16",-2.03984369370052,-0.158673410742346,1.04707489201973,-1.96813289363767,-0.0186023883789119,0.883318059514101,-2.2131398225608,0.0149457602949992,0.81667374222623,-2.2131398225608,0.0149457602949992,0.81667374222623
"17",-2.00248506092285,-0.130085996524596,1.06717058125478,-1.95530189321227,-0.0106388076465146,0.881952742856329,-1.84174997741444,0.0099904469151122,0.864080848238986,-1.84174997741444,0.0099904469151122,0.864080848238986
"18",-1.71791524063731,-0.165106642178744,1.03611103821729,-1.94256023471331,-0.0198893561044486,0.880649045318658,-0.946014297203992,-0.001640636133087,0.963557815567719,-0.946014297203992,-0.001640636133087,0.963557815567719
"19",-1.85888077065634,0.00975774382182098,1.16788673160481,-1.18907529713708,0.0209345036301221,1.0316845998132,-2.10999086705348,-0.0481017896700991,0.792919155727459,-2.10999086705348,-0.0481017896700991,0.792919155727459
